Task,Completed
suscipit repellat esse quibusdam voluptatem incidunt,False
distinctio vitae autem nihil ut molestias quo,True
et itaque necessitatibus maxime molestiae qui quas velit,False
adipisci non ad dicta qui amet quaerat doloribus ea,False
voluptas quo tenetur perspiciatis explicabo natus,True
aliquam aut quasi,True
veritatis pariatur delectus,True
nesciunt totam sit blanditiis sit,False
laborum aut in quam,False
nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True
repudiandae totam in est sint facere fuga,False
earum doloribus ea doloremque quis,False
sint sit aut vero,False
porro aut necessitatibus eaque distinctio,False
repellendus veritatis molestias dicta incidunt,True
excepturi deleniti adipisci voluptatem et neque optio illum ad,True
sunt cum tempora,False
totam quia non,False
doloremque quibusdam asperiores libero corrupti illum qui omnis,False
totam atque quo nesciunt,True
